timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
21:30.9,bleT2,-,-,-,0,2,bleA2,-52,bleA5,-62,A,114.741,-970.388,244,G,-20090,18340,2520,M,-706.5,49.5,-232.5,,,,,,
21:30.9,bleT2,-,-,-,0,3,bleA4,-87,bleA3,-59,bleA6,-79,A,134.322,-1002.779,202.398,G,-10010,22750,-2240,M,-706.5,58.5,-211.5,,,,
21:31.0,bleT2,-,-,-,0,4,bleA2,-61,bleA4,-68,bleA5,-66,bleA6,-65,A,118.828,-943.487,111.752,G,490,10570,10640,M,-705,55.5,-202.5,,
21:31.1,bleT2,-,-,-,0,5,bleA5,-62,bleA2,-52,bleA4,-74,bleA3,-58,bleA6,-76,A,141.398,-972.706,103.578,G,2660,7420,9450,M,-712.5,45,-186
21:31.2,bleT2,-,-,-,0,4,bleA5,-66,bleA6,-78,bleA2,-52,bleA3,-59,A,122.549,-1048.163,56.486,G,5810,-1190,-3220,M,-712.5,45,-184.5,,
21:31.3,bleT2,-,-,-,0,5,bleA2,-52,bleA3,-56,bleA4,-71,bleA5,-61,bleA6,-72,A,48.007,-1114.348,271.999,G,11410,5810,-8820,M,-715.5,52.5,-201
21:31.4,bleT2,-,-,-,0,5,bleA6,-75,bleA2,-54,bleA4,-74,bleA5,-70,bleA3,-59,A,105.774,-990.762,256.749,G,52850,-1890,980,M,-715.5,58.5,-210
21:31.5,bleT2,-,-,-,0,5,bleA2,-54,bleA4,-89,bleA3,-55,bleA5,-60,bleA6,-76,A,-91.317,-933.727,32.33,G,8190,-20510,-12250,M,-720,60,-213
21:31.6,bleT2,-,-,-,0,5,bleA6,-70,bleA2,-56,bleA4,-75,bleA3,-64,bleA5,-68,A,133.773,-1084.702,-81.008,G,-27510,4550,16590,M,-733.5,63,-196.5
21:31.7,bleT2,-,-,-,0,5,bleA2,-49,bleA4,-70,bleA3,-54,bleA5,-66,bleA6,-80,A,-12.017,-830.881,207.156,G,-2030,47740,-1330,M,-721.5,52.5,-198
